VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

B02510,2017-03-09 13:11:27,,225,
B02867,2017-03-12 13:29:48,,140,
B02865,2017-03-21 22:52:08,,137,
B02876,2017-03-18 00:01:15,,230,
B02510,2017-03-29 20:20:27,,87,
B02835,2017-03-09 00:03:19,,144,
B02764,2017-03-10 18:06:08,,148,
B02866,2017-03-22 23:34:25,,48,
B02871,2017-03-28 22:14:46,,26,
B00937,2017-03-22 07:05:00,,,
B02510,2017-03-23 14:13:53,,20,
B02764,2017-03-25 11:09:35,,61,
B02510,2017-03-12 14:53:18,,66,
B02510,2017-03-31 23:25:54,,256,
B01454,2017-03-14 16:08:39,,,
B02726,2017-03-13 18:19:00,,,
B02617,2017-03-12 23:07:59,,132,
B02884,2017-03-12 18:03:44,,186,
B02888,2017-03-25 01:04:01,,261,
B02682,2017-03-11 20:01:52,,170,
B01996,2017-03-28 14:15:00,,,
B02510,2017-03-08 13:15:24,,158,
B02879,2017-03-09 19:55:51,,138,
B02764,2017-03-04 11:35:36,,74,
B02764,2017-03-23 18:25:39,,246,
B02864,2017-03-06 10:48:48,,125,
B02510,2017-03-25 18:16:50,,197,
B02764,2017-03-23 14:04:55,,132,
B02878,2017-03-02 15:40:45,,70,
B02510,2017-03-13 16:50:55,,228,
B02510,2017-03-22 12:38:49,,37,
B02715,2017-03-13 18:30:00,,,
B01197,2017-03-30 13:40:00,,,
B01606,2017-03-24 09:44:00,,,
B02914,2017-03-29 14:20:45,,,
B02764,2017-03-10 00:02:57,,174,
B00856,2017-03-04 15:46:00,,,
B02882,2017-03-25 08:01:48,,92,
B02872,2017-03-18 10:59:58,,81,
B02879,2017-03-27 11:10:45,,79,
B00445,2017-03-08 14:52:00,,265,0
B02882,2017-03-13 20:27:43,,61,
B02653,2017-03-09 02:40:00,,,
B01338,2017-03-31 06:31:00,,,
B02536,2017-03-28 13:22:00,,,
B02835,2017-03-05 19:44:27,,48,
B02882,2017-03-03 21:55:48,,35,
B02876,2017-03-02 08:05:28,,265,
B02682,2017-03-24 19:09:15,,235,
B02764,2017-03-12 03:06:08,,79,
B02510,2017-03-27 11:19:15,,180,
B02877,2017-03-21 02:14:12,,116,
B02914,2017-03-13 18:29:59,,,
B02510,2017-03-31 13:09:17,,45,
B02764,2017-03-13 15:58:52,,87,
B02764,2017-03-10 13:51:25,,7,
B02510,2017-03-20 17:35:51,,138,
B02875,2017-03-19 09:14:40,,121,
B02914,2017-03-12 12:01:16,,,
B02888,2017-03-09 02:00:07,,17,
B01051,2017-03-11 19:07:00,,,
B01109,2017-03-13 15:50:53,,,
B00256,2017-03-01 10:00:00,,,
B02872,2017-03-15 12:49:02,,75,
B02512,2017-03-18 21:23:47,,259,
B02825,2017-03-10 11:32:08,,,
B02867,2017-03-28 23:26:04,,21,
B02865,2017-03-21 18:00:52,,90,
B02800,2017-03-08 16:47:27,,143,
B02634,2017-03-07 10:28:00,,,
B02914,2017-03-03 23:41:49,,,
B02510,2017-03-23 21:26:15,,130,
B02682,2017-03-21 15:27:44,,132,
B02876,2017-03-09 15:05:19,,234,
B02682,2017-03-22 21:58:17,,257,
B02867,2017-03-10 12:15:51,,162,
B01233,2017-03-02 10:43:00,,3,
B02764,2017-03-22 21:43:07,,166,
B02864,2017-03-11 19:22:05,,90,
B02764,2017-03-05 02:00:32,,7,
B02537,2017-03-29 10:54:00,,,
B02866,2017-03-26 04:21:16,,41,
B02888,2017-03-28 11:30:10,,151,
B00350,2017-03-28 22:27:00,,,
B02914,2017-03-26 16:52:59,,,
B02907,2017-03-31 01:05:00,,,
B02510,2017-03-21 18:39:49,,161,
B02867,2017-03-09 19:34:55,,62,
B02871,2017-03-10 21:01:14,,223,
B02836,2017-03-13 10:36:08,,239,
B02510,2017-03-14 18:13:42,,45,
B02510,2017-03-09 15:05:14,,145,
B02764,2017-03-30 15:49:26,,35,
B02835,2017-03-06 21:59:14,,144,
B01553,2017-03-31 08:41:00,,,
B02914,2017-03-28 14:09:40,,,
B02877,2017-03-18 20:58:28,,79,
B02882,2017-03-12 00:28:00,,116,
B02882,2017-03-06 06:43:23,,256,
B02914,2017-03-13 19:07:16,,,
B02510,2017-03-04 19:45:59,,249,
B02877,2017-03-21 12:38:08,,231,
B02914,2017-03-20 19:18:20,,,
B02865,2017-03-12 06:06:11,,230,
B01259,2017-03-12 13:24:00,,,
B02510,2017-03-02 03:10:33,,24,
B02682,2017-03-19 10:57:40,,213,
B02800,2017-03-06 10:20:44,,142,
B02907,2017-03-15 16:55:00,,,
B00919,2017-03-12 01:29:00,,,
B02510,2017-03-11 07:13:12,,136,
B02682,2017-03-22 23:53:53,,89,
B02914,2017-03-02 20:22:06,,,
B02764,2017-03-22 20:22:59,,165,
B00823,2017-03-24 04:56:20,,228,0
B01338,2017-03-21 18:12:00,,,
B02879,2017-03-30 19:24:06,,137,
B02876,2017-03-21 01:38:50,,231,
B02800,2017-03-28 20:14:27,,48,
B01467,2017-03-04 21:17:00,,,
B02510,2017-03-22 07:25:48,,200,
B02888,2017-03-11 20:12:34,,246,
B02765,2017-03-15 08:00:42,,132,
B02764,2017-03-31 09:21:52,,223,
B02510,2017-03-06 19:48:44,,48,
B02869,2017-03-04 15:16:24,,255,
B02864,2017-03-02 20:45:44,,97,
B02867,2017-03-04 23:29:55,,237,
B02764,2017-03-17 01:28:18,,230,
B02510,2017-03-22 11:43:05,,45,
B02748,2017-03-17 16:55:00,,,
B02510,2017-03-26 10:36:47,,79,
B02879,2017-03-09 07:30:10,,255,
B02882,2017-03-17 05:47:37,,107,
B02510,2017-03-25 07:01:02,,162,
B02550,2017-03-13 12:00:00,,,
B02764,2017-03-23 14:32:51,,215,
B02682,2017-03-07 06:49:32,,249,
B02882,2017-03-16 07:08:59,,14,
B02907,2017-03-16 18:42:00,,,
B02682,2017-03-02 17:54:06,,138,
B02510,2017-03-27 05:33:28,,119,
B02880,2017-03-08 19:07:52,,127,
B02882,2017-03-27 20:48:59,,73,
B02871,2017-03-19 20:57:31,,47,
B02682,2017-03-22 07:04:25,,79,
B02748,2017-03-11 17:36:00,,,
B02882,2017-03-11 10:18:29,,223,
B02878,2017-03-26 11:37:03,,77,
B02510,2017-03-06 09:09:45,,225,
B02682,2017-03-04 08:21:24,,166,
B02395,2017-03-12 00:34:06,,122,
B02888,2017-03-24 23:23:32,,144,
B02682,2017-03-13 08:56:06,,211,
B01527,2017-03-19 19:30:00,,,
B02764,2017-03-29 20:07:34,,244,
B02764,2017-03-01 06:47:01,,177,
B02882,2017-03-23 18:58:56,,200,
B02765,2017-03-17 07:38:08,,112,
B02888,2017-03-19 11:59:21,,262,
B02866,2017-03-23 10:18:28,,35,
B02800,2017-03-13 15:10:39,,238,
B02437,2017-03-27 07:07:00,,,
B02882,2017-03-05 22:03:42,,29,
B02563,2017-03-25 11:39:00,,102,0
B02395,2017-03-30 18:52:21,,228,
B02914,2017-03-24 14:16:07,,,
B02875,2017-03-23 19:30:01,,228,
B02864,2017-03-31 21:21:04,,246,
B02880,2017-03-14 21:41:48,,193,
B02882,2017-03-27 16:51:30,,152,
B02920,2017-03-16 07:34:00,,,
B02865,2017-03-14 07:04:55,,178,
B02869,2017-03-09 19:14:57,,42,
B00278,2017-03-22 16:23:00,,,
B02875,2017-03-02 07:26:47,,11,
B01285,2017-03-13 08:47:00,,,
B02876,2017-03-24 19:09:23,,4,
B02883,2017-03-21 16:28:24,,246,
B02867,2017-03-26 00:29:22,,149,
B02764,2017-03-17 18:32:45,,7,
B02870,2017-03-22 10:10:51,,78,
B02510,2017-03-17 09:05:05,,7,
B02914,2017-03-25 09:06:47,,,
B02764,2017-03-23 20:01:26,,13,
B02510,2017-03-03 10:35:39,,164,
B02510,2017-03-27 23:01:53,,160,
B02764,2017-03-22 10:59:55,,113,
B02617,2017-03-05 01:43:36,,67,
B02510,2017-03-21 23:36:40,,61,
B02764,2017-03-21 20:47:10,,189,
B02914,2017-03-13 02:58:56,,,
B02866,2017-03-08 12:23:30,,234,
B02682,2017-03-11 19:54:15,,85,
B02682,2017-03-25 16:30:13,,163,
B02765,2017-03-20 07:02:50,,254,
B02682,2017-03-30 16:29:17,,265,
B00412,2017-03-16 11:11:00,,,
B02682,2017-03-15 20:54:00,,231,
B02914,2017-03-19 09:17:32,,,
B01739,2017-03-10 11:32:00,,35,0
B02882,2017-03-22 09:50:25,,181,
B02395,2017-03-21 20:12:42,,119,
B02835,2017-03-03 20:59:30,,209,
B02510,2017-03-26 00:45:14,,258,
B02764,2017-03-12 14:56:27,,126,
B00254,2017-03-23 20:46:00,,,
B02617,2017-03-02 19:41:42,,237,
B02879,2017-03-18 16:26:02,,22,
B02764,2017-03-18 01:45:59,,170,
B02836,2017-03-17 14:27:53,,138,
B02764,2017-03-22 21:36:44,,158,
B02882,2017-03-22 11:04:41,,137,
B02764,2017-03-16 07:19:25,,48,
B02888,2017-03-22 17:46:08,,77,
B02764,2017-03-31 14:37:25,,33,
B02510,2017-03-02 22:25:08,,42,
B02878,2017-03-03 19:56:08,,113,
B02870,2017-03-22 18:27:31,,166,
B02682,2017-03-23 18:55:31,,95,
B02764,2017-03-17 16:47:26,,37,
B02864,2017-03-17 17:50:50,,114,
B02617,2017-03-23 17:26:20,,50,
B02306,2017-03-15 14:54:00,,,
B02889,2017-03-03 11:45:19,,234,
B02914,2017-03-14 08:24:08,,,
B02835,2017-03-27 08:28:14,,163,
B02888,2017-03-28 23:09:13,,100,
B02835,2017-03-25 02:25:34,,249,
B02510,2017-03-31 05:45:47,,215,
B02836,2017-03-12 06:55:57,,244,
B00802,2017-03-19 13:22:00,,,
B02510,2017-03-13 23:34:25,,61,
B02867,2017-03-02 18:45:43,,138,
B02887,2017-03-17 22:49:21,,68,
B02682,2017-03-26 19:15:03,,250,
B02764,2017-03-01 12:09:17,,234,
B02510,2017-03-09 18:15:12,,189,
B01711,2017-03-12 20:08:00,,252,
B02878,2017-03-16 17:04:30,,22,
B02510,2017-03-08 01:11:31,,161,
B01215,2017-03-10 13:15:00,,,
B00375,2017-03-12 10:17:00,,,
B02882,2017-03-14 19:09:30,,89,
B02510,2017-03-04 12:44:45,,50,
