VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount


2,2014-09-14 19:34:28,2014-09-14 19:58:21,N,1,-73.918136596679688,40.76531982421875,-73.988777160644531,40.743793487548828,1,5.58,21,0,0.5,4.2,0,,25.7,1,1,,
2,2014-09-13 13:22:40,2014-09-13 13:49:36,N,1,-73.95672607421875,40.720897674560547,-73.807891845703125,40.701198577880859,1,10.74,31.5,0,0.5,5,0,,37,1,1,,
2,2014-09-20 22:00:48,2014-09-20 22:16:22,N,1,-73.946754455566406,40.703479766845703,-73.967292785644531,40.683620452880859,1,3.00,13,0.5,0.5,0,0,,14,2,1,,
1,2014-09-12 02:12:35,2014-09-12 02:26:39,N,1,-73.950462341308594,40.663860321044922,-73.942764282226562,40.704669952392578,1,3.90,14,0.5,0.5,0,0,,15,2,1,,
1,2014-09-12 18:01:15,2014-09-12 18:09:26,N,1,-73.940589904785156,40.808353424072266,-73.955650329589844,40.803577423095703,2,1.10,7,1,0.5,2.1,0,,10.6,1,1,,
2,2014-09-19 08:27:17,2014-09-19 08:32:32,N,1,-73.9527587890625,40.809135437011719,-73.960395812988281,40.812705993652344,1,.46,5,0,0.5,0,0,,5.5,2,1,,
1,2014-09-05 21:37:48,2014-09-05 22:00:36,N,1,-73.915664672851563,40.757419586181641,-73.992767333984375,40.694469451904297,1,9.10,28.5,0.5,0.5,0,0,,29.5,1,1,,
2,2014-09-02 14:59:57,2014-09-02 15:11:10,N,1,-73.890968322753906,40.746868133544922,-73.873176574707031,40.772392272949219,1,3.42,13,0,0.5,0,0,,13.5,2,1,,
1,2014-09-17 01:07:46,2014-09-17 01:14:38,N,5,-73.91595458984375,40.824855804443359,-73.923683166503906,40.843955993652344,1,2.00,0,0,0,0,0,,0,2,2,,
2,2014-09-18 22:51:05,2014-09-18 22:51:11,N,5,-73.911270141601563,40.897712707519531,-73.911277770996094,40.897716522216797,3,.00,45,0,0,9,0,,54,1,2,,
2,2014-09-03 14:11:36,2014-09-03 14:22:19,N,1,-73.851181030273438,40.726325988769531,-73.800704956054687,40.715366363525391,1,3.61,12.5,0,0.5,2.5,0,,15.5,1,1,,
2,2014-09-30 00:19:44,2014-09-30 00:28:59,N,1,-73.807449340820312,40.700321197509766,-73.771690368652344,40.695117950439453,1,2.59,10.5,0.5,0.5,0,0,,11.5,1,1,,
2,2014-09-08 15:46:44,2014-09-08 15:49:32,N,1,-73.944931030273438,40.783309936523438,-73.948928833007813,40.773258209228516,1,.76,4.5,0,0.5,1,0,,6,1,1,,
2,2014-09-02 18:40:11,2014-09-02 18:50:36,N,1,-73.962081909179688,40.805576324462891,-73.981475830078125,40.782009124755859,1,2.08,9.5,1,0.5,0,0,,11,2,1,,
2,2014-09-03 15:09:52,2014-09-03 15:32:48,N,1,-73.940330505371094,40.840324401855469,-73.934494018554688,40.798191070556641,1,4.00,18,0,0.5,4.5,0,,23,1,1,,
2,2014-09-15 03:31:48,2014-09-15 03:32:06,N,1,-73.882164001464844,40.755958557128906,-73.882171630859375,40.755935668945313,1,.00,2.5,0.5,0.5,6.5,0,,10,1,1,,
2,2014-09-14 06:28:33,2014-09-14 06:47:00,N,1,-73.830055236816406,40.713710784912109,-73.778915405273438,40.646751403808594,1,7.91,24.5,0,0.5,0,0,,25,2,1,,
1,2014-09-05 20:45:01,2014-09-05 20:51:23,N,1,-73.940353393554688,40.809009552001953,-73.956222534179687,40.803043365478516,1,1.20,6.5,0.5,0.5,0,0,,7.5,2,1,,
2,2014-09-28 13:49:30,2014-09-28 14:05:20,N,1,-73.960609436035156,40.690326690673828,-73.991851806640625,40.690460205078125,1,1.83,11.5,0,0.5,0,0,,12,1,1,,
2,2014-09-24 11:33:39,2014-09-24 11:46:20,N,1,-73.924964904785156,40.861675262451172,-73.951629638671875,40.786865234375,1,6.43,20,0,0.5,0,0,,20.5,2,1,,
1,2014-09-05 23:28:38,2014-09-05 23:32:53,N,1,-73.928321838378906,40.860275268554687,-73.920326232910156,40.860980987548828,1,.80,5,0.5,0.5,0,0,,6,2,1,,
2,2014-09-13 02:07:16,2014-09-13 02:16:46,N,1,-73.990554809570313,40.686603546142578,-73.993370056152344,40.661479949951172,1,2.55,10.5,0.5,0.5,2.2,0,,13.7,1,1,,
2,2014-09-25 21:54:58,2014-09-25 21:57:41,N,1,-73.964057922363281,40.807903289794922,-73.968070983886719,40.800643920898438,1,.56,4.5,0.5,0.5,1.5,0,,7,1,1,,
2,2014-09-11 17:41:49,2014-09-12 16:53:09,N,1,-73.939613342285156,40.841495513916016,-73.921516418457031,40.868186950683594,1,2.98,12,1,0.5,2.6,0,,16.1,1,1,,
1,2014-09-20 14:01:58,2014-09-20 14:11:16,N,1,-73.947235107421875,40.831012725830078,-73.909477233886719,40.887668609619141,1,4.80,15,0,0.5,0,2.44,,17.94,2,1,,
2,2014-09-07 23:24:39,2014-09-07 23:29:58,N,1,-73.937591552734375,40.748786926269531,-73.923248291015625,40.7645263671875,5,1.26,6.5,0.5,0.5,0,0,,7.5,2,1,,
2,2014-09-04 11:40:16,2014-09-04 11:50:36,N,1,-73.941421508789063,40.833530426025391,-73.931846618652344,40.846961975097656,1,1.95,9,0,0.5,0,0,,9.5,2,1,,
1,2014-09-03 15:06:39,2014-09-03 15:27:38,N,1,-73.987373352050781,40.702686309814453,-74.00274658203125,40.739894866943359,1,4.20,18,0,0.5,3,0,,21.5,1,1,,
2,2014-09-09 20:31:22,2014-09-09 20:39:03,N,1,-73.9390869140625,40.805618286132813,-73.948760986328125,40.781696319580078,1,2.00,8.5,0.5,0.5,1.8,0,,11.3,1,1,,
2,2014-09-10 09:07:09,2014-09-10 09:13:03,N,1,-73.95263671875,40.810604095458984,-73.940139770507813,40.805534362792969,1,.74,6,0,0.5,1.2,0,,7.7,1,1,,
1,2014-09-01 18:49:01,2014-09-01 18:52:56,N,1,-73.961814880371094,40.805656433105469,-73.952774047851562,40.81817626953125,1,1.00,5.5,0,0.5,0,0,,6,2,1,,
