VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

B01148,2015-04-08 04:54:00,189
B02764,2015-04-23 13:17:00,113
B02764,2015-04-11 10:44:00,189
B01362,2015-04-30 08:27:00,
B01938,2015-04-17 17:30:00,
B00248,2015-04-27 23:47:00,
B02764,2015-04-18 22:33:00,170
B02764,2015-04-17 19:16:00,230
B02765,2015-04-07 14:19:00,162
B02016,2015-04-13 07:15:00,
B02682,2015-04-25 21:03:00,61
B02617,2015-04-17 10:46:00,238
B02598,2015-04-26 13:34:00,163
B02617,2015-04-14 18:55:00,161
B02764,2015-04-12 20:12:00,132
B00248,2015-04-15 13:09:00,
B02111,2015-04-15 19:53:00,
B02617,2015-04-08 09:09:00,79
B02764,2015-04-25 08:51:00,33
B02598,2015-04-25 15:57:00,148
B02765,2015-04-18 14:22:00,236
B02510,2015-04-11 00:03:02,163
B02617,2015-04-25 16:26:00,162
B01386,2015-04-15 22:56:00,198
B00256,2015-04-17 09:30:00,
B01506,2015-04-06 11:37:00,
B00310,2015-04-25 07:29:00,213
B02764,2015-04-07 17:25:00,24
B02653,2015-04-22 01:49:00,242
B02682,2015-04-28 20:38:00,170
B02682,2015-04-20 08:12:00,140
B02682,2015-04-14 16:40:00,107
B02653,2015-04-06 00:32:00,235
B02682,2015-04-21 13:24:00,49
B02764,2015-04-11 19:09:00,112
B02764,2015-04-16 15:26:00,163
B00412,2015-04-02 07:45:00,
B01176,2015-04-11 04:10:00,265
B02682,2015-04-06 13:09:00,45
B00248,2015-04-23 13:00:00,
B02682,2015-04-07 22:14:00,231
B01340,2015-04-20 09:39:00,
B02617,2015-04-22 10:13:00,158
B02682,2015-04-13 06:29:00,248
B00373,2015-04-24 22:02:00,264
B02764,2015-04-16 22:06:00,79
B02764,2015-04-17 22:03:00,100
B01069,2015-04-11 00:15:00,
B02617,2015-04-24 21:21:00,90
B02764,2015-04-23 20:11:00,181
B00160,2015-04-11 17:10:00,
B01726,2015-04-11 08:49:00,
B02764,2015-04-19 17:41:00,164
B02764,2015-04-12 12:17:00,229
B00932,2015-04-01 14:57:00,36
B02682,2015-04-23 23:09:00,48
B02765,2015-04-22 09:04:00,159
B00256,2015-04-21 13:00:00,
B02510,2015-04-12 08:12:46,107
B02764,2015-04-29 23:32:00,148
b01013,2015-04-01 11:00:00,
B02764,2015-04-23 23:00:00,230
B02682,2015-04-19 11:05:00,256
B02617,2015-04-07 14:16:00,137
B02765,2015-04-22 16:08:00,164
B02764,2015-04-19 19:49:00,138
B02510,2015-04-25 18:56:18,222
B02598,2015-04-09 08:59:00,143
B02764,2015-04-09 05:35:00,50
B02764,2015-04-02 09:25:00,132
B00789,2015-04-28 19:45:00,
B01998,2015-04-01 17:20:00,
B00310,2015-04-06 21:22:00,265
B02397,2015-04-19 08:59:00,22
B00821,2015-04-17 11:47:00,
B02764,2015-04-25 20:35:00,239
B02764,2015-04-28 17:57:00,107
B00013,2015-04-08 22:31:00,
B02653,2015-04-15 18:40:00,235
B02468,2015-04-24 10:00:00,
B00254,2015-04-01 04:35:00,
B00256,2015-04-23 08:30:00,
B01467,2015-04-07 07:48:00,
B02765,2015-04-06 20:30:00,230
B02682,2015-04-22 11:34:00,144
B02617,2015-04-15 09:37:00,233
B02765,2015-04-10 20:49:00,37
B02764,2015-04-25 22:56:00,181
B02111,2015-04-23 08:23:00,
B02719,2015-04-10 22:49:00,
B02155,2015-04-26 10:45:00,
B01525,2015-04-15 21:03:04,
B00821,2015-04-13 09:05:00,
B02764,2015-04-05 20:04:00,97
B01899,2015-04-04 20:29:00,
B01509,2015-04-24 02:24:00,
B02764,2015-04-11 06:30:00,255
B02764,2015-04-25 00:00:00,14
B02315,2015-04-08 16:22:00,55
B01667,2015-04-17 19:13:00,
B02682,2015-04-07 19:34:00,140
B02764,2015-04-01 12:49:00,68
B02800,2015-04-01 06:52:00,239
B02682,2015-04-30 08:57:00,157
B00280,2015-04-03 19:20:00,
B02682,2015-04-13 06:43:00,34
B02764,2015-04-16 20:53:00,230
B01467,2015-04-08 16:07:00,
B02617,2015-04-06 06:27:00,49
B02764,2015-04-26 14:15:00,246
B02764,2015-04-24 12:23:00,87
B02248,2015-04-02 13:41:00,
B02617,2015-04-12 12:40:00,42
B02764,2015-04-24 10:46:00,36
B02617,2015-04-29 18:15:00,107
B02682,2015-04-30 15:45:00,239
B02764,2015-04-10 22:56:00,141
B02682,2015-04-20 07:25:00,220
B02764,2015-04-23 20:12:00,238
B02764,2015-04-24 21:10:00,52
B02617,2015-04-30 21:32:00,234
B02682,2015-04-23 21:04:00,249
B02764,2015-04-06 03:51:00,158
B01726,2015-04-07 15:30:00,
B02764,2015-04-15 17:20:00,237
B00628,2015-04-23 21:58:00,
B00412,2015-04-15 10:33:00,
B02764,2015-04-12 19:03:00,163
B02765,2015-04-10 06:38:00,17
B02764,2015-04-15 21:57:00,100
B02764,2015-04-03 23:20:00,151
B01525,2015-04-29 18:07:27,
B02764,2015-04-25 19:33:00,79
B02764,2015-04-30 10:37:00,145
B02682,2015-04-12 21:07:00,237
B02764,2015-04-24 17:40:00,158
B02765,2015-04-23 01:29:00,33
B02682,2015-04-17 21:43:00,79
B02764,2015-04-20 09:28:00,247
B02510,2015-04-05 06:18:00,116
B01315,2015-04-18 15:30:00,
B02764,2015-04-04 16:53:00,107
B02765,2015-04-22 21:32:00,140
B02800,2015-04-27 20:55:00,143
B01730,2015-04-20 17:09:00,
B02617,2015-04-13 15:26:00,220
B02764,2015-04-01 07:26:00,64
B00310,2015-04-02 11:33:00,182
B02765,2015-04-11 21:42:00,61
B02617,2015-04-20 07:17:00,167
B02022,2015-04-22 22:45:00,
B02764,2015-04-12 00:35:00,114
B02510,2015-04-05 21:12:00,47
B02764,2015-04-11 10:14:00,230
B02617,2015-04-25 10:43:00,67
B00856,2015-04-07 20:05:09,
B02764,2015-04-05 17:48:00,24
B00256,2015-04-29 00:06:42,
B02764,2015-04-26 21:44:00,186
B02764,2015-04-18 19:32:00,113
B02315,2015-04-06 21:06:00,264
B02617,2015-04-02 18:39:00,164
B02765,2015-04-10 23:29:00,234
B01730,2015-04-23 18:20:00,
B02764,2015-04-11 08:10:00,36
B02617,2015-04-21 05:58:00,146
B02764,2015-04-11 13:01:00,228
B02617,2015-04-24 17:53:00,166
B02764,2015-04-23 17:28:00,114
B02510,2015-04-04 02:03:16,224
B00856,2015-04-18 18:23:41,
B02598,2015-04-16 07:07:00,237
B02617,2015-04-18 22:44:00,68
B02510,2015-04-22 18:33:52,155
B02764,2015-04-21 22:47:00,246
B00256,2015-04-22 13:00:00,
B02617,2015-04-08 19:55:00,162
B02764,2015-04-19 19:29:00,231
B02598,2015-04-12 11:57:00,87
B02764,2015-04-05 01:27:00,162
B02765,2015-04-24 17:36:00,243
B02764,2015-04-23 21:02:00,114
B00014,2015-04-25 15:00:00,
B02764,2015-04-10 20:18:00,140
B00280,2015-04-24 02:05:00,
B02800,2015-04-14 19:56:00,140
B01280,2015-04-16 11:15:00,
B01726,2015-04-12 02:32:00,
B02764,2015-04-24 23:54:00,145
B02682,2015-04-26 22:47:00,148
B01509,2015-04-24 15:28:00,
B02682,2015-04-13 17:02:00,143
B02765,2015-04-03 00:20:00,113
B01726,2015-04-13 09:22:00,
B02510,2015-04-22 19:55:38,188
B02764,2015-04-17 15:22:00,68
B02617,2015-04-25 18:52:00,236
B02682,2015-04-12 21:36:00,195
B02800,2015-04-14 13:18:00,239
B02682,2015-04-25 22:30:00,143
B00256,2015-04-17 15:00:00,
B02682,2015-04-05 13:57:00,246
B02719,2015-04-10 21:25:00,
B02765,2015-04-10 09:35:00,238
B02682,2015-04-10 22:34:00,192
B01340,2015-04-28 08:07:00,
B02617,2015-04-14 21:17:00,237
B01730,2015-04-20 01:28:00,
B02764,2015-04-20 10:12:00,42
B00256,2015-04-20 15:50:00,
B01336,2015-04-13 18:30:00,
B02598,2015-04-20 20:36:00,256
B02765,2015-04-05 11:42:00,243
B02653,2015-04-03 20:38:00,136
B02764,2015-04-20 06:31:00,144
B02510,2015-04-05 22:25:09,186
B02764,2015-04-25 15:21:00,225
B00911,2015-04-24 18:00:00,20
B00248,2015-04-25 10:15:00,
B01315,2015-04-12 08:57:00,
b02301,2015-04-25 15:38:00,245
B02764,2015-04-01 15:18:00,144
B02682,2015-04-21 12:51:00,256
B02682,2015-04-09 17:16:00,211
B02764,2015-04-12 15:31:00,90
B02617,2015-04-03 19:04:00,146
B02764,2015-04-18 06:44:00,148
B02682,2015-04-15 19:12:00,234
B00256,2015-04-27 10:00:00,
B02510,2015-04-12 04:35:21,72
B02765,2015-04-04 14:12:00,148
B00310,2015-04-07 18:08:00,185
B02764,2015-04-05 07:03:00,231
B01667,2015-04-13 21:21:00,
B02617,2015-04-08 18:49:00,237
B01362,2015-04-02 14:20:00,
B01315,2015-04-13 18:45:00,
B01614,2015-04-03 17:40:00,
B02598,2015-04-16 22:53:00,163
B02765,2015-04-23 16:26:00,239
B02617,2015-04-15 16:38:00,161
B02764,2015-04-11 13:22:00,75
B02617,2015-04-25 08:55:00,148
B02765,2015-04-20 17:25:00,34
B00256,2015-04-26 15:36:00,
B02598,2015-04-25 20:18:00,249
B02764,2015-04-01 18:23:00,87
B02682,2015-04-06 18:47:00,125
