ID,TEXTO
1057094275110965248,"#single #hetero #corneador #hombre #caballero @caballero @hombre
En Venezuela 
Nota: Solo dotados - Buena apariencia
'No cubre el perfil NO responda a la publicación ya que no es la idea perder el tiempo de ambas partes. GRACIAS'
 (ABSTENERSE GAY - BISEXUALES 1000%) https://t.co/Z4UqSiqWdf"
1057094219855204352,"¡Elegancia y Glamour! Es lo que nos transmite el nuevo perfume Red velvet On point.👠♀

 #GoodGirlCHNY #glamour  #perfume #belleza #mujer https://t.co/bychKqlaIV"
1057091722625368065,"Aprendan a festejar !! 👏👏
Después dicen que no hay ...
#IgualdadDeGénero https://t.co/nfH1SEwMoT"
1057090772745547777,"@TralmaWuino @canal_chile Cómo ciudadana y mujer me agrede que @sebastianpinera lo haya invitado...
Hay que fumarlo y en especial a sus ideas retrógradas y putrefactas..,
#MeToo 
#NiUnaMenos"
1057089731337637889,"VARICES NUNCA MAS ™ADIOS ARAÑITAS https://t.co/sBTOom6Zil vía @Etsy #ebookpdfshop #vasculares #varices #etsy #amazon #holistico #milagro #ebay #ebook  #inflamacion #natural #piernas  #venas #dolor #arañitas #mujer #descarga #gratis #estrias #Mujeres #coagulos #ebay #ebaybuyer"
1057089333927272448,"Ayer fui a @JumboChile y el cajero que me atendió había tenido que sacarse sus expansores, mientras que su supervisora, parada a 2 metros, tenía aros de 5 cms de diámetro. Eso también es #sexismo."
1057089232735481856,"Me da mucha pena la situación entre Jale y Musa. 😭😭💔 #Kadın #Mujer"
1057089092809150465,"El anuncio de que @ahaasp continuará su período de 4 años al frente de @CONAPRED , es una gran noticia. Seguramente continuará con su férreo trabajo para proponer y avanzar acciones y políticas públicas a favor de la # #igualdad.
Felicidades! 🎉"
1057088993945362432,"Pobre Ceyda ya la quieren casar con Peyami 🙄🙄😂😂 #Kadın #Mujer"
1057088609336152064,"@Albert_Rivera #Asustaviejas y #machista, se puede pedir mas?"
1057088447775719424,"Capítulo 110: #Historia del #feminismo en #Chile https://t.co/Omzu2fH1W1"
1057088209585430534,"#MasAmorMenosOdio La lucha por la #igualdad y el #matrimonioigualitario en #Peru no se detiene. #loveislove https://t.co/3x8I9faeum"
1057083882552655873,"🔴⚪ Nos ocupa pensar alternativas para alcanzar la #igualdad de oportunidades, creemos que la equidad es el medio y el fin y que podemos construirla juntxs 👉 Reunión Equipo técnico de DDHH y Género ⚤ https://t.co/lAR6Pr2Wzq"
