VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 


2,2017-01-01 07:15:53,2017-01-01 07:19:25,2,1.21,1,N,140,262,1,5.5,0,0.5,1.26,0,0.3,7.56
2,2017-01-01 07:21:39,2017-01-01 07:34:25,2,6.00,1,N,74,137,2,18.5,0,0.5,0,0,0.3,19.3
1,2017-01-01 06:59:59,2017-01-01 07:07:44,1,1.50,1,N,48,237,2,8,0,0.5,0,0,0.3,8.8
2,2017-01-01 07:25:27,2017-01-01 07:41:45,5,4.91,1,N,48,226,2,17,0,0.5,0,0,0.3,17.8
2,2017-01-01 06:54:29,2017-01-01 07:04:04,6,1.78,1,N,162,48,2,8.5,0,0.5,0,0,0.3,9.3
1,2017-01-01 07:36:28,2017-01-01 07:47:49,3,5.30,1,N,114,75,2,15.5,0,0.5,0,0,0.3,16.3
2,2017-01-01 07:07:05,2017-01-01 07:21:35,1,7.99,1,N,246,244,1,23,0,0.5,0,0,0.3,23.8
1,2017-01-01 00:00:51,2017-01-01 00:11:22,1,4.80,1,N,162,45,1,15.5,0.5,0.5,3.35,0,0.3,20.15
1,2017-01-01 07:28:07,2017-01-01 07:43:15,1,4.20,1,N,50,262,3,15,0,0.5,0,0,0.3,15.8
2,2017-01-01 07:12:14,2017-01-01 07:29:40,1,6.78,1,N,79,238,2,22,0,0.5,0,0,0.3,22.8
1,2017-01-01 07:17:16,2017-01-01 07:24:45,1,2.80,1,N,263,137,1,10,0,0.5,2.7,0,0.3,13.5
1,2017-01-01 07:04:53,2017-01-01 07:11:12,1,1.90,1,N,239,161,2,8,0,0.5,0,0,0.3,8.8
1,2017-01-01 06:57:23,2017-01-01 07:06:30,1,2.30,1,N,75,41,1,9.5,0,0.5,2.05,0,0.3,12.35
2,2017-01-01 07:12:07,2017-01-01 07:23:36,1,3.03,1,N,41,140,1,12,0,0.5,1.5,0,0.3,14.3
2,2017-01-01 07:15:47,2017-01-01 07:17:47,5,.76,1,N,42,41,2,4.5,0,0.5,0,0,0.3,5.3
1,2017-01-01 07:05:21,2017-01-01 07:17:07,1,4.70,1,N,249,236,1,15,0,0.5,3.95,0,0.3,19.75
2,2017-01-01 07:09:32,2017-01-01 07:32:08,1,9.43,1,N,87,24,1,29,0,0.5,5.96,0,0.3,35.76
1,2017-01-01 07:33:48,2017-01-01 07:40:00,1,2.30,1,N,41,244,2,9,0,0.5,0,0,0.3,9.8
1,2017-01-01 07:01:47,2017-01-01 07:14:04,2,2.10,1,N,48,162,2,10.5,0,0.5,0,0,0.3,11.3
1,2017-01-01 07:34:12,2017-01-01 07:39:48,1,2.40,1,N,75,75,2,8,0,0.5,0,0,0.3,8.8
2,2017-01-01 07:03:30,2017-01-01 07:15:05,1,3.46,1,N,230,75,1,12,0,0.5,2.56,0,0.3,15.36
2,2017-01-01 07:18:26,2017-01-01 07:23:28,1,1.45,1,N,70,223,2,6.5,0,0.5,0,0,0.3,7.3
1,2017-01-01 07:10:29,2017-01-01 07:13:07,1,.60,1,N,41,74,1,4.5,0,0.5,1,0,0.3,6.3
2,2017-01-01 06:56:57,2017-01-01 07:01:03,1,.73,1,N,48,162,2,5.5,0,0.5,0,0,0.3,6.3
1,2017-01-01 07:22:58,2017-01-01 07:29:57,1,2.40,1,N,143,68,1,9,0,0.5,0.21,0,0.3,10.01
1,2017-01-01 07:17:34,2017-01-01 07:35:02,1,9.50,1,N,48,127,2,28,0,0.5,0,0,0.3,28.8
