VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount


VTS,2014-05-24 16:28:00,2014-05-24 16:49:00,1,6.5899999999999999,-73.781797999999995,40.644755000000004,1,,-73.818879999999993,40.683616999999998,CSH,21.5,0,0.5,0,0,22
CMT,2014-05-17 22:18:56,2014-05-17 22:25:08,1,0.69999999999999996,-73.978481000000002,40.744579999999999,1,N,-73.972042000000002,40.753225,CRD,6,0.5,0.5,1.3999999999999999,0,8.4000000000000004
VTS,2014-05-13 07:17:00,2014-05-13 07:43:00,1,11.25,-73.979365000000001,40.761634999999998,1,,-73.861725000000007,40.768377000000001,CRD,33,0,0.5,9.5800000000000001,5.3300000000000001,48.409999999999997
VTS,2014-05-11 19:38:00,2014-05-11 19:40:00,1,0.48999999999999999,-73.956035,40.771929999999998,1,,-73.962327000000002,40.770406999999999,CSH,4,0,0.5,0,0,4.5
VTS,2014-05-10 21:45:00,2014-05-10 21:49:00,1,1.1899999999999999,-73.965542999999997,40.767802000000003,1,,-73.981575000000007,40.768377000000001,CSH,5.5,0.5,0.5,0,0,6.5
CMT,2014-05-18 12:38:51,2014-05-18 13:03:29,1,6.2000000000000002,-73.982298999999998,40.772762,1,N,-74.012968000000001,40.717395000000003,CRD,20.5,0,0.5,2,0,23
CMT,2014-05-12 12:57:30,2014-05-12 13:03:16,1,0.90000000000000002,-73.981380000000001,40.746803,1,N,-73.974395000000001,40.756501,CSH,6,0,0.5,0,0,6.5
VTS,2014-05-23 15:55:00,2014-05-23 16:07:00,1,2.5800000000000001,-73.972953000000004,40.762566999999997,1,,-73.972864999999999,40.789451999999997,CRD,11,0,0.5,3,0,14.5
VTS,2014-05-03 21:28:00,2014-05-03 21:48:00,1,10.32,-73.781829999999999,40.644697000000001,1,,-73.853731999999994,40.754576999999998,CSH,29.5,0.5,0.5,0,0,30.5
CMT,2014-05-26 19:24:55,2014-05-26 19:31:53,2,1.6000000000000001,-73.968534000000005,40.770349000000003,1,N,-73.985742000000002,40.755426,CSH,7.5,0,0.5,0,0,8
CMT,2014-05-24 02:14:18,2014-05-24 02:27:13,2,2.7000000000000002,-73.984263999999996,40.725126000000003,1,N,-73.987013000000005,40.749437999999998,CRD,11.5,0.5,0.5,2.5,0,15
CMT,2014-05-07 19:53:50,2014-05-07 20:05:12,1,2.3999999999999999,-73.969510999999997,40.785451999999999,1,N,-73.992666999999997,40.758201999999997,CSH,10,1,0.5,0,0,11.5
CMT,2014-05-30 19:28:20,2014-05-30 19:40:41,1,2.1000000000000001,-73.989742000000007,40.757192000000003,1,N,-73.980463,40.783762000000003,CSH,10.5,1,0.5,0,0,12
