ID,TEXTO
1059836761633968129,"Hemos tenido un encuentro muy interesante y agradable con Lourdes de @familiafacil @ff_empleo, donde hemos compartido temas como #Conciliación, #Igualdad y #Compliance. Reconocemos su gran labor y creemos que es necesaria su presencia en las empresas para mejorar la conciliación."
1059836643148992512,"#Mujer La escandalosa foto de la pancita de Irina Baeva, ella misma muestra https://t.co/moejC2HRZl #Mujeres #Chicas https://t.co/0yJK2hpmaN"
1059836148116275200,"Momentos en Peluquería Pipol que te hacen sentir bien. 😍
.
.
.
#Valladolid #Peluqueria #cyl #castillayleon #mujer #peluqueriapipol en Peluquería Pipol https://t.co/h9maLlGrYk"
1059835946592600064,"Inmigración, Salud, #MeToo, Trump … los temas claves que se tomarán en cuenta en las elecciones de EEUU  https://t.co/K7EAiI5Xux https://t.co/ErSdSelGla"
1059835918406897665,"Nuevas #Pulseras de acero inoxidable para #mujer con charm. #acero #bubyz #almería #charm #moda
https://t.co/06w5OgH51d https://t.co/s5M6i5BVRb"
1059835605260099587,"Concurso fotográfico 'Mejor iguales'. Plazo máximo de presentación de fotografías el 25 de noviembre.

#MejorIguales #Mejor #Iguales #ConcursoDeFotografía #Prevención #Violencia #Mujeres #Propuesta #Mundo #Igualdad #Equidad #AytoDePadul #Noviembre #DistritoSanitario #Granada https://t.co/dHZDbc2qgi"
1059835577065988098,"#AlMomento Para promover la #NoViolencia, el afecto, empatía, respeto, equidad y la igualdad sustantiva, personal directivo y administrativo de #UDGVirtual participa en el Curso de capacitación en #IgualdadDeGénero que imparte la @udg_oficial a través de @COPLADI_UdeG https://t.co/0RzF3UNSkJ"
1059835351945101313,"Los expertos han atribuido esta oleada de mujeres demócratas al movimiento #MeToo, o una reacción violenta a Donald Trump, o simplemente un aumento general de la ira femenina. https://t.co/CHCZHUto8Y"
1059835304440406017,"'MISS VILLERA (#MeToo)'

#Collage de periódico y #acrílico sobre tela. 
61 x 122 cms.
#SFChronicle #SanFrancisco #US
May 1th (2018)

Pricing: https://t.co/iXdTc9q2VH

#MissVillera #nike #metoo… https://t.co/OxOcYdRsaV"
1059835282130960384,"#Feministas no deben confundir #IgualdadDeGenero con un tema porcentual, la igualdad se debe discutir desde el merito de las personas y sin ningún tipo de discriminación."
1059834370041749506,"@Afrofeminas nos hablan de cómo las tonalidades del color de piel afectan a la percepción de las personas, las personas que tienen un tono de piel más cercano al de la piel blanca son mejor valoradas socialmente. #Colorismo #racismo
https://t.co/iBmXjfHft8 #feminismo #sororidad"
1059834290794463233,"La igualdad de género no será real hasta dentro de un siglo, según afirma el Foro Económico Mundial. El movimiento #feminista avanza de forma imbatible, pero es necesario pisar el acelerador para alcanzar los objetivos de la #Agenda2030 #feminismo https://t.co/CieYcnJYvH"
1059834113429893121,"#EnVivo Inauguración Foro mujeres al centro: salud materna y desigualdad al habla Dra. Paola Sesia #CiesasPacificoSur #CasaChata #mujer #salud https://t.co/cTxh0fKNNz"
1059834065786990592,"Debemos terminar con este círculo vicioso. Tal como sucede con la #nacionalidad, el #género, la #etnia, y la #edad, la extensión del #contratolaboral nunca debería justificar menores salarios o beneficios - dice @JochemPdeboer
 https://t.co/17Yu7tM1oh https://t.co/8caSGgqKSr"
1059833723020029952,"@Santi_ABASCAL el #13N pocos apoyarán #ILPJusapol en serio se van a salir con la suya? Ayúdenos a que los diputados voten si a la #igualdad"
1059833444157534214,"Interesante encuentro para seguir aprendiendo sobre #igualdad #género #mujer #empresa https://t.co/223UaaV4tp"
1059833183934369792,"@rlucasgu @Pontifex_es Un hombre mortal más! Qué trae un plan que es aparentemente bueno cuando en realidad no lo es! #DíaDeLaFamilia y quiere que todo mundo guarde el día de reposo dado por el catolicismo #Domingo pero Dios dice que es el #Sábado a quien se le tiene que hacer caso?
#Dios o #Hombre"
1059833141995675653,"#Feminismo y #Trabajo Ciclo de Conversatorios
Hoy 06 de Noviembre
Cc @PartidoPODER @izq_libertaria @RDMaipo @BuinRd https://t.co/TPGVJq2sqs"
